0|1,0,|0,0,|2,0,|nq=off	2	-182.80324321911692,-192.95881830140874
0|0,1,|0,0,|0,2,|nq=off	2	-190.52057976374576,-180.03784807601178
0|2,1,|0,0,|2,2,|nq=off	2	-9.1310874806250002,-7.6202750000000012
0|1,1,|0,0,|2,1,|nq=off	2	-48.843784966119628,-48.807940796247522
0|1,0,|0,0,|1,0,|nq=off	2	-118.25362515343971,-122.53516348307113
0|0,1,|0,0,|0,1,|nq=off	2	-128.91865868260996,-118.75266504337397
0|2,2,|0,0,|2,2,|nq=off	2	-147.79172287176726,-155.01646346395739
0|2,0,|0,0,|2,0,|nq=off	2	-299.14291908673044,-310.00706203238542
0|0,2,|0,0,|0,2,|nq=off	2	-300.54140845084464,-282.73017190017077
0|0,0,|0,0,|0,0,|nq=off	2	-63.65808334750065,-64.855922285337613
0|1,0,|0,0,|0,0,|nq=off	2	-96.760614193395625,-101.6378520939314
0|0,1,|0,0,|0,0,|nq=off	2	-94.918248091637977,-89.760984800473068
0|1,2,|0,0,|0,2,|nq=off	2	-7.0778750000000006,-6.3378689175000007
0|0,0,|0,1,|0,0,|nq=off	2	-10.898849999999999,-59.383716542016664
0|1,1,|0,0,|1,2,|nq=off	2	-36.187065399595632,-31.26856720098608
0|0,2,|0,1,|0,2,|nq=off	2	0,-1.1000000000000001
0|0,1,|1,0,|0,1,|nq=off	2	-55.100852561518799,-2.4049999999999998
0|1,0,|0,1,|2,0,|nq=off	2	1,-24.426216541949259
0|1,1,|0,0,|1,1,|nq=off	2	-31.540573993658978,-32.359978123173263
0|1,1,|0,0,|0,0,|nq=off	2	-10.548780535334894,-9.8101088780703254
0|1,2,|0,0,|1,2,|nq=off	2	-20.511751609872078,-17.151938123547623
0|1,2,|0,0,|2,2,|nq=off	2	-27.349191793393477,-24.529577714091911
0|1,1,|0,0,|2,2,|nq=off	2	-36.019433728846927,-36.707648716750214
0|1,1,|0,0,|2,0,|nq=off	2	-15.827780494444504,-20.643738275544518
0|0,0,|1,0,|0,0,|nq=off	2	-47.480758777515931,0
0|2,2,|2,2,|2,2,|nq=off	2	-443.125,0
0|2,2,|0,2,|2,2,|nq=off	2	-1822.85625,-2.5250000000000004
0|1,1,|0,0,|1,0,|nq=off	2	-0.18235000000000001,-1.0550000000000002
